Ag Area Sdesc,Cla Subject Ldesc,Cla Catalog Nbr,Cla Class Section,Cla Instructor Name,Official Enrollmt,Grades Received,Grades Pct of Enrolled,gpa,A,A-,B+,B,B- ,C+,C,C- ,D+,D,D- ,"F, F+",W,Cr,Nc,Other
Business,Business Administration, 478,001,"Alavi,Sepideh",40,38,95.0%,2.868,6,5,7,3,6,6,1,1,,,1,2,,,,
Business,Business Administration, 478,002,"Rutherford,Timothy B",24,24,100.0%,2.763,5,,3,4,3,3,2,1,2,1,,,,,,
Business,Business Administration, 478,203,"Fang,Xiang",44,40,90.9%,3.008,7,2,11,9,6,1,1,,,1,,2,3,,,
Business,Business Administration, 478,Course Total,Course Total,108,102,94.4%,2.898,18,7,21,16,15,10,4,2,2,2,1,4,3,,,
Business,Business Administration, 481,001,"Rymaszewski,Jeffrey J",25,25,100.0%,2.292,4,,,6,1,1,5,2,,2,1,2,,,,1
Business,Business Administration, 481,Course Total,Course Total,25,25,100.0%,2.292,4,,,6,1,1,5,2,,2,1,2,,,,1
Business,Business Administration, 485,001,"Rymaszewski,Jeffrey J",12,9,75.0%,2.889,4,,,2,,,2,,,,,1,2,,,
Business,Business Administration, 485,Course Total,Course Total,12,9,75.0%,2.889,4,,,2,,,2,,,,,1,2,,,
Business,Business Administration, 493,001,"Goranova,Maria L",11,10,90.9%,3.768,4,5,1,,,,,,,,,,,,,
Business,Business Administration, 493,Course Total,Course Total,11,10,90.9%,3.768,4,5,1,,,,,,,,,,,,,
Business,Business Administration, 495,002,"Spellman,G Kevin",11,10,90.9%,4.000,10,,,,,,,,,,,,,,,
Business,Business Administration, 495,Course Total,Course Total,11,10,90.9%,4.000,10,,,,,,,,,,,,,,,
Business,Business Administration, 496,001,"Deng,Lina",48,48,100.0%,3.438,20,13,2,5,2,3,1,,1,,,1,,,,
Business,Business Administration, 496,002,"Deng,Lina",48,46,95.8%,3.363,19,7,5,8,3,,1,1,,,1,1,1,,,
Business,Business Administration, 496,003,"Deng,Lina",25,25,100.0%,3.614,15,2,1,4,2,1,,,,,,,,,,
Business,Business Administration, 496,203,"Cheng,Zheng",60,60,100.0%,3.628,25,15,12,5,2,1,,,,,,,,,,
Business,Business Administration, 496,Course Total,Course Total,181,179,98.9%,3.507,79,37,20,22,9,5,2,1,1,,1,2,1,,,
Business,Business Administration, 530,001,"Gopukumar,Deepika",36,36,100.0%,3.787,26,4,1,4,,1,,,,,,,,,,
Business,Business Administration, 530,Course Total,Course Total,36,36,100.0%,3.787,26,4,1,4,,1,,,,,,,,,,
Business,Business Administration, 535,001,"Srite,Mark D",21,21,100.0%,3.525,4,11,3,,2,1,,,,,,,,,,
Business,Business Administration, 535,203,"Beheshti,Neshat",38,34,89.5%,2.843,6,5,6,4,1,4,3,1,1,,2,1,2,,,
Business,Business Administration, 535,Course Total,Course Total,59,55,93.2%,3.103,10,16,9,4,3,5,3,1,1,,2,1,2,,,
Business,Business Administration, 537,002,"Ghoshal,Abhijeet",43,40,93.0%,3.384,8,17,7,1,2,4,,,,,,1,3,,,
Business,Business Administration, 537,Course Total,Course Total,43,40,93.0%,3.384,8,17,7,1,2,4,,,,,,1,3,,,
Business,Business Administration, 539,001,"Hightower,Ross T",25,22,88.0%,3.182,9,,,8,,,5,,,,,,3,,,
Business,Business Administration, 539,Course Total,Course Total,25,22,88.0%,3.182,9,,,8,,,5,,,,,,3,,,
Business,Business Administration, 541,001,"Cheng,Zheng",41,40,97.6%,3.500,14,7,7,9,3,,,,,,,,,,,
Business,Business Administration, 541,Course Total,Course Total,41,40,97.6%,3.500,14,7,7,9,3,,,,,,,,,,,
Business,Business Administration, 551,001,"Hulce,Craig G",34,34,100.0%,2.921,6,5,6,3,3,3,4,1,2,,1,,,,,
Business,Business Administration, 551,Course Total,Course Total,34,34,100.0%,2.921,6,5,6,3,3,3,4,1,2,,1,,,,,
Business,Business Administration, 553,001,"Spellman,G Kevin",14,14,100.0%,4.000,14,,,,,,,,,,,,,,,
Business,Business Administration, 553,Course Total,Course Total,14,14,100.0%,4.000,14,,,,,,,,,,,,,,,
Business,Business Administration, 571,203,"Haas,Timothy C",23,14,60.9%,2.096,,1,,4,3,1,1,,1,,,3,4,,,
Business,Business Administration, 571,Course Total,Course Total,23,14,60.9%,2.096,,1,,4,3,1,1,,1,,,3,4,,,
Business,Business Administration, 576,001,"Rutherford,Timothy B",20,19,95.0%,3.720,10,5,2,1,1,,,,,,,,,,,
Business,Business Administration, 576,002,"Mukhopadhyay,Samar K",28,27,96.4%,2.803,5,1,3,6,3,2,4,2,,,,1,,,,
Business,Business Administration, 576,003,"Mukhopadhyay,Samar K",15,15,100.0%,2.845,1,3,,5,1,1,3,1,,,,,,,,
Business,Business Administration, 576,Course Total,Course Total,63,61,96.8%,3.099,16,9,5,12,5,3,7,3,,,,1,,,,
Business,Business Administration, 600,001,"Goranova,Maria L",43,40,93.0%,3.367,13,10,5,7,2,,1,,,1,,1,1,,,
Business,Business Administration, 600,002,"Dobrev,Stanislav D",41,41,100.0%,3.326,4,12,12,7,5,,1,,,,,,,,,
Business,Business Administration, 600,003,"Levitas,Edward F",38,38,100.0%,3.184,9,6,7,6,4,,4,1,1,,,,,,,
Business,Business Administration, 600,004,"Dobrev,Stanislav D",35,33,94.3%,3.091,2,7,9,8,5,,,,,1,,1,1,,,
Business,Business Administration, 600,005,"Yang,Xiaoyu",42,41,97.6%,3.529,13,11,10,3,2,2,,,,,,,,,,
Business,Business Administration, 600,006,"Panelli,Edward J",38,35,92.1%,3.402,9,14,2,,8,,1,1,,,,,1,,,
Business,Business Administration, 600,007,"Tews,Jeremy K",39,39,100.0%,3.770,26,7,1,4,,,1,,,,,,,,,
Business,Business Administration, 600,008,"Buerger,R. Kyle",24,23,95.8%,3.406,12,1,4,3,1,,,,,1,1,,1,,,
Business,Business Administration, 600,Course Total,Course Total,300,290,96.7%,3.390,88,68,50,38,27,2,8,2,1,3,1,2,4,,,
Business,Business Administration, 703,001,"Viel,Sheila F",25,24,96.0%,2.986,8,2,,6,,,4,2,,,,1,,,,1
Business,Business Administration, 703,Course Total,Course Total,25,24,96.0%,2.986,8,2,,6,,,4,2,,,,1,,,,1
Business,Business Administration, 721,001,"Fischer,Carol A",10,10,100.0%,2.800,1,,1,5,,,2,1,,,,,,,,
Business,Business Administration, 721,Course Total,Course Total,10,10,100.0%,2.800,1,,1,5,,,2,1,,,,,,,,
Business,Business Administration, 723,001,"Daugherty,Brian E",33,33,100.0%,3.566,10,11,6,4,2,,,,,,,,,,,
Business,Business Administration, 723,Course Total,Course Total,33,33,100.0%,3.566,10,11,6,4,2,,,,,,,,,,,
Business,Business Administration, 724,001,"Neely,Daniel G",21,21,100.0%,3.286,5,3,1,9,2,1,,,,,,,,,,
Business,Business Administration, 724,002,"Neely,Daniel G",33,33,100.0%,3.556,13,6,5,8,1,,,,,,,,,,,
Business,Business Administration, 724,Course Total,Course Total,54,54,100.0%,3.451,18,9,6,17,3,1,,,,,,,,,,
Business,Business Administration, 725,001,"Kren,Leslie",23,23,100.0%,3.406,8,4,4,3,1,2,1,,,,,,,,,
Business,Business Administration, 725,Course Total,Course Total,23,23,100.0%,3.406,8,4,4,3,1,2,1,,,,,,,,,
Business,Business Administration, 728,001,"Daugherty,Brian E",25,25,100.0%,3.747,12,8,4,1,,,,,,,,,,,,
Business,Business Administration, 728,Course Total,Course Total,25,25,100.0%,3.747,12,8,4,1,,,,,,,,,,,,
Business,Business Administration, 737,002,"Pandey,Arun K",21,20,95.2%,3.868,12,8,,,,,,,,,,,,,,
Business,Business Administration, 737,Course Total,Course Total,21,20,95.2%,3.868,12,8,,,,,,,,,,,,,,
Business,Business Administration, 738,001,"Singh,Romila",26,25,96.2%,3.825,17,1,1,1,,1,,,,,,,,,,4
Business,Business Administration, 738,Course Total,Course Total,26,25,96.2%,3.825,17,1,1,1,,1,,,,,,,,,,4
Business,Business Administration, 744,001,"Morris,Hubert F",26,26,100.0%,3.962,23,3,,,,,,,,,,,,,,
Business,Business Administration, 744,Course Total,Course Total,26,26,100.0%,3.962,23,3,,,,,,,,,,,,,,
Business,Business Administration, 747,001,"Nazareth,Derek L",23,23,100.0%,3.609,7,7,7,2,,,,,,,,,,,,
Business,Business Administration, 747,Course Total,Course Total,23,23,100.0%,3.609,7,7,7,2,,,,,,,,,,,,
Business,Business Administration, 754,001,"Soofi,Ehsanolah S",6,6,100.0%,3.833,5,,,1,,,,,,,,,,,,
Business,Business Administration, 754,Course Total,Course Total,6,6,100.0%,3.833,5,,,1,,,,,,,,,,,,
Business,Business Administration, 755,001,"Devita,Robert J",14,14,100.0%,4.000,14,,,,,,,,,,,,,,,
Business,Business Administration, 755,Course Total,Course Total,14,14,100.0%,4.000,14,,,,,,,,,,,,,,,
Business,Business Administration, 763,203,"Roehl,Laura S",35,34,97.1%,3.618,21,6,1,1,1,3,,,,1,,,,,,
Business,Business Administration, 763,Course Total,Course Total,35,34,97.1%,3.618,21,6,1,1,1,3,,,,1,,,,,,
Business,Business Administration, 765,001,"Ghose,Sanjoy",28,28,100.0%,3.835,15,12,1,,,,,,,,,,,,,
Business,Business Administration, 765,Course Total,Course Total,28,28,100.0%,3.835,15,12,1,,,,,,,,,,,,,
Business,Business Administration, 771,001,"Kim,Donghyun",28,27,96.4%,3.618,8,10,6,3,,,,,,,,,,,,
Business,Business Administration, 771,Course Total,Course Total,28,27,96.4%,3.618,8,10,6,3,,,,,,,,,,,,
Business,Business Administration, 773,001,"Floros,Ioannis",9,8,88.9%,3.541,2,2,3,1,,,,,,,,,,,,
Business,Business Administration, 773,Course Total,Course Total,9,8,88.9%,3.541,2,2,3,1,,,,,,,,,,,,
Business,Business Administration, 778,001,"Smith,Gregory A",27,27,100.0%,3.383,5,7,6,5,4,,,,,,,,,,,
Business,Business Administration, 778,Course Total,Course Total,27,27,100.0%,3.383,5,7,6,5,4,,,,,,,,,,,
Business,Business Administration, 783,203,"Yue,Xiaohang",17,17,100.0%,3.608,12,2,1,,1,,,,,,,1,,,,
Business,Business Administration, 783,Course Total,Course Total,17,17,100.0%,3.608,12,2,1,,1,,,,,,,1,,,,
Business,Business Administration, 786,203,"Fang,Xiang",7,7,100.0%,3.667,2,3,2,,,,,,,,,,,,,
Business,Business Administration, 786,Course Total,Course Total,7,7,100.0%,3.667,2,3,2,,,,,,,,,,,,,
Business,Business Administration, 795,009,"Turmel,Jeffrey A",21,21,100.0%,3.874,13,8,,,,,,,,,,,,,,
Business,Business Administration, 795,010,"Saffold,Jonathan",14,11,78.6%,4.000,11,,,,,,,,,,,,,,,
Business,Business Administration, 795,011,"Papatla,Purushottam",7,6,85.7%,4.000,6,,,,,,,,,,,,,,,
Business,Business Administration, 795,Course Total,Course Total,42,38,90.5%,3.931,30,8,,,,,,,,,,,,,,
Business,Business Administration, 810,001,"Hightower,Ross T",23,23,100.0%,3.957,22,,,1,,,,,,,,,,,,
Business,Business Administration, 810,Course Total,Course Total,23,23,100.0%,3.957,22,,,1,,,,,,,,,,,,
Business,Business Administration, 816,203,"Sinha,Atish P",31,29,93.5%,3.415,9,12,4,1,1,,,,,,,2,1,,,
Business,Business Administration, 816,Course Total,Course Total,31,29,93.5%,3.415,9,12,4,1,1,,,,,,,2,1,,,
Business,Business Administration, 817,001,"Radmann,Tara E",13,12,92.3%,3.834,7,4,1,,,,,,,,,,,,,
Business,Business Administration, 817,Course Total,Course Total,13,12,92.3%,3.834,7,4,1,,,,,,,,,,,,,
Business,Business Administration, 820,001,"Goller,Michael G",19,19,100.0%,3.913,15,3,1,,,,,,,,,,,,,
Business,Business Administration, 820,Course Total,Course Total,19,19,100.0%,3.913,15,3,1,,,,,,,,,,,,,
Business,Business Administration, 821,001,"Konkol,Charles A",25,24,96.0%,3.500,7,5,5,7,,,,,,,,,1,,,
Business,Business Administration, 821,Course Total,Course Total,25,24,96.0%,3.500,7,5,5,7,,,,,,,,,1,,,
Business,Business Administration, 826,001,"Librizzi,Natasha",20,20,100.0%,3.784,12,5,1,2,,,,,,,,,,,,
Business,Business Administration, 826,Course Total,Course Total,20,20,100.0%,3.784,12,5,1,2,,,,,,,,,,,,
Business,Business Administration, 840,001,"Swenson,Laura A",35,35,100.0%,3.457,13,2,5,15,,,,,,,,,,,,
Business,Business Administration, 840,003,"Swenson,Laura A",26,26,100.0%,3.590,10,6,4,6,,,,,,,,,,,,
Business,Business Administration, 840,Course Total,Course Total,61,61,100.0%,3.514,23,8,9,21,,,,,,,,,,,,
Business,Business Administration, 894,001,"Gibler,Paul J",23,23,100.0%,3.783,14,5,3,,1,,,,,,,,,,,
Business,Business Administration, 894,Course Total,Course Total,23,23,100.0%,3.783,14,5,3,,1,,,,,,,,,,,
Business,Business Administration, 900,001,"Ghose,Sanjoy",6,6,100.0%,4.000,6,,,,,,,,,,,,,,,
Business,Business Administration, 900,Course Total,Course Total,6,6,100.0%,4.000,6,,,,,,,,,,,,,,,
Business,Business Management, 704,009,"Childs,Gerald",36,35,97.2%,3.952,33,,1,1,,,,,,,,,,,,
Business,Business Management, 704,203,"Abbott,Lawrence J",47,46,97.9%,3.840,35,3,5,3,,,,,,,,,,,,
Business,Business Management, 704,Course Total,Course Total,83,81,97.6%,3.889,68,3,6,4,,,,,,,,,,,,
Business,Business Management, 705,001,"Engle,Gary P",22,18,81.8%,3.315,6,2,2,6,,,1,1,,,,,3,,,
Business,Business Management, 705,002,"Engle,Gary P",27,27,100.0%,3.087,10,1,3,5,2,,3,2,,,,1,,,,
Business,Business Management, 705,Course Total,Course Total,49,45,91.8%,3.178,16,3,5,11,2,,4,3,,,,1,3,,,
Business,Business Management, 706,203,"Schlaman,Michael J.",30,30,100.0%,3.801,18,8,2,2,,,,,,,,,,,,
Business,Business Management, 706,209,"Schlaman,Michael J.",34,34,100.0%,3.727,17,12,,4,1,,,,,,,,,,,
Business,Business Management, 706,Course Total,Course Total,64,64,100.0%,3.761,35,20,2,6,1,,,,,,,,,,,
Business,Business Management, 707,001,"Srite,Mark D",32,31,96.9%,3.744,10,18,3,,,,,,,,,,1,,,
Business,Business Management, 707,009,"Wickersham,Adam Franklin",21,21,100.0%,3.524,4,9,5,2,,1,,,,,,,,,,
Business,Business Management, 707,Course Total,Course Total,53,52,98.1%,3.655,14,27,8,2,,1,,,,,,,1,,,
Business,Business Management, 708,001,"Goodman,Bret H",33,32,97.0%,3.418,5,12,4,8,3,,,,,,,,1,,,
Business,Business Management, 708,002,"Bhatnagar,Amit",20,20,100.0%,3.868,12,8,,,,,,,,,,,,,,
Business,Business Management, 708,Course Total,Course Total,53,52,98.1%,3.591,17,20,4,8,3,,,,,,,,1,,,
Business,Business Management, 709,001,"Soofi,Ehsanolah S",23,20,87.0%,2.736,3,1,3,1,,5,5,1,,,,,1,,,1
Business,Business Management, 709,009,"Alwan,Layth C",36,35,97.2%,3.819,33,,,,,,,1,,,,1,,,,
Business,Business Management, 709,203,"Alwan,Layth C",9,9,100.0%,3.741,7,1,,,,,1,,,,,,,,,
Business,Business Management, 709,207,"Alwan,Layth C",26,25,96.2%,3.214,12,2,,6,1,,,2,,1,,1,1,,,
Business,Business Management, 709,Course Total,Course Total,94,89,94.7%,3.405,55,4,3,7,1,5,6,4,,1,,2,2,,,1
Business,Business Management, 711,001,"Ayvazzadeh,Robert Glenn",28,28,100.0%,3.929,26,,,2,,,,,,,,,,,,
Business,Business Management, 711,002,"Ross,Anthony D",31,31,100.0%,3.355,4,8,9,6,4,,,,,,,,,,,
Business,Business Management, 711,Course Total,Course Total,59,59,100.0%,3.627,30,8,9,8,4,,,,,,,,,,,
Business,Business Management, 712,001,"Albert,Daniel",11,10,90.9%,3.567,4,2,1,3,,,,,,,,,,,,
Business,Business Management, 712,009,"Albert,Daniel",21,21,100.0%,3.556,8,4,4,4,1,,,,,,,,,,,
Business,Business Management, 712,Course Total,Course Total,32,31,96.9%,3.559,12,6,5,7,1,,,,,,,,,,,
Business,Business Management, 713,001,"Bartel,Matthew J",15,15,100.0%,3.422,3,4,4,3,,1,,,,,,,,,,
Business,Business Management, 713,002,"Matter,Andrew W",31,31,100.0%,3.645,16,5,2,8,,,,,,,,,,,,
Business,Business Management, 713,Course Total,Course Total,46,46,100.0%,3.573,19,9,6,11,,1,,,,,,,,,,
Business,Business Management, 714,009,"Klotsche,Allan John",36,35,97.2%,3.639,9,17,5,2,1,,,,,,,,,,,1
Business,Business Management, 714,Course Total,Course Total,36,35,97.2%,3.639,9,17,5,2,1,,,,,,,,,,,1
Business,Business Management, 718,001,"Smith,John Palmer",28,25,89.3%,3.937,17,4,,,,,,,,,,,1,,,4
Business,Business Management, 718,Course Total,Course Total,28,25,89.3%,3.937,17,4,,,,,,,,,,,1,,,4
Business,Business Management, 724,001,"Neely,Daniel G",22,22,100.0%,3.804,16,3,,2,1,,,,,,,,,,,
Business,Business Management, 724,Course Total,Course Total,22,22,100.0%,3.804,16,3,,2,1,,,,,,,,,,,
Business,Business Management, 728,001,"Allen,Deborah N",19,16,84.2%,3.938,14,1,1,,,,,,,,,,,,,
Business,Business Management, 728,Course Total,Course Total,19,16,84.2%,3.938,14,1,1,,,,,,,,,,,,,
Business,Business Management, 730,001,"Smith,John Palmer",14,14,100.0%,3.833,8,2,2,,,,,,,,,,,,,2
Business,Business Management, 730,Course Total,Course Total,14,14,100.0%,3.833,8,2,2,,,,,,,,,,,,,2
Business,Business Management, 732,203,"Lumina,Jerad Robert",27,27,100.0%,3.766,21,2,1,,1,1,1,,,,,,,,,
Business,Business Management, 732,Course Total,Course Total,27,27,100.0%,3.766,21,2,1,,1,1,1,,,,,,,,,
Business,Business Management, 738,002,"Freeman,Sarah J",21,21,100.0%,3.524,6,5,5,5,,,,,,,,,,,,
Business,Business Management, 738,Course Total,Course Total,21,21,100.0%,3.524,6,5,5,5,,,,,,,,,,,,
Education,Administrative Leadership, 581,104,"Bennett,Pamela A.",6,4,66.7%,2.585,1,1,,,1,,,,,,,1,,,,
Education,Administrative Leadership, 581,291,"Bennett,Pamela A.",10,10,100.0%,3.633,7,,1,1,,,1,,,,,,,,,
Education,Administrative Leadership, 581,Course Total,Course Total,16,14,87.5%,3.334,8,1,1,1,1,,1,,,,,1,,,,
Education,Administrative Leadership, 586,101,"Stoddard,Angela Jean",11,11,100.0%,3.818,9,1,,,,1,,,,,,,,,,
Education,Administrative Leadership, 586,Course Total,Course Total,11,11,100.0%,3.818,9,1,,,,1,,,,,,,,,,
Education,Administrative Leadership, 591,104,"Boulton,Pamla Jo",9,8,88.9%,4.000,7,,,,,,,,,,,,,,,1
Education,Administrative Leadership, 591,291,"Boulton,Pamla Jo",12,11,91.7%,3.848,10,,,,,1,,,,,,,1,,,
Education,Administrative Leadership, 591,Course Total,Course Total,21,19,90.5%,3.907,17,,,,,1,,,,,,,1,,,1
Education,Administrative Leadership, 605,291,"Yilmaz,Ali",13,11,84.6%,3.244,4,3,,2,1,,,,,,,1,1,,,
Education,Administrative Leadership, 605,Course Total,Course Total,13,11,84.6%,3.244,4,3,,2,1,,,,,,,1,1,,,
Education,Administrative Leadership, 630,001,"Daley,Barbara J",11,10,90.9%,3.962,8,1,,,,,,,,,,,1,,,1
Education,Administrative Leadership, 630,Course Total,Course Total,11,10,90.9%,3.962,8,1,,,,,,,,,,,1,,,1
Education,Administrative Leadership, 667,291,"Baldwin,Cheryl K",17,17,100.0%,3.412,7,4,2,2,1,,,,,,,1,,,,
Education,Administrative Leadership, 667,Course Total,Course Total,17,17,100.0%,3.412,7,4,2,2,1,,,,,,,1,,,,
Education,Administrative Leadership, 687,291,"Samuel,Anita Johanna Rajkumari",13,11,84.6%,3.556,8,,,,,,,,,,,1,,,,2
Education,Administrative Leadership, 687,Course Total,Course Total,13,11,84.6%,3.556,8,,,,,,,,,,,1,,,,2
Education,Administrative Leadership, 692,291,"Mina,Liliana",6,5,83.3%,4.000,5,,,,,,,,,,,,,,,
Education,Administrative Leadership, 692,Course Total,Course Total,6,5,83.3%,4.000,5,,,,,,,,,,,,,,,
Education,Administrative Leadership, 702,291,"Wallace,Leigh Ellen",18,17,94.4%,3.629,5,8,1,3,,,,,,,,,1,,,
Education,Administrative Leadership, 702,Course Total,Course Total,18,17,94.4%,3.629,5,8,1,3,,,,,,,,,1,,,
Education,Administrative Leadership, 703,291,"Strachota,Elaine M",15,15,100.0%,3.779,7,6,2,,,,,,,,,,,,,
Education,Administrative Leadership, 703,Course Total,Course Total,15,15,100.0%,3.779,7,6,2,,,,,,,,,,,,,
Education,Administrative Leadership, 708,291,"Mina,Liliana",12,12,100.0%,3.917,10,1,1,,,,,,,,,,,,,
Education,Administrative Leadership, 708,Course Total,Course Total,12,12,100.0%,3.917,10,1,1,,,,,,,,,,,,,
Education,Administrative Leadership, 709,003,"Page,Jeremy D",14,13,92.9%,3.565,1,8,3,1,,,,,,,,,,,,
Education,Administrative Leadership, 709,291,"Mina,Liliana",16,16,100.0%,3.708,14,,1,,,,,,,,,1,,,,
Education,Administrative Leadership, 709,Course Total,Course Total,30,29,96.7%,3.644,15,8,4,1,,,,,,,,1,,,,
Education,Administrative Leadership, 710,101,"Wallace,Leigh Ellen",9,8,88.9%,4.000,8,,,,,,,,,,,,,,,
Education,Administrative Leadership, 710,291,"Wallace,Leigh Ellen",16,15,93.8%,3.645,8,5,1,,,,,,,1,,,1,,,
Education,Administrative Leadership, 710,Course Total,Course Total,25,23,92.0%,3.769,16,5,1,,,,,,,1,,,1,,,
Education,Administrative Leadership, 732,291,"Whiteman,Rodney S",21,19,90.5%,3.580,1,12,6,,,,,,,,,,,,,
Education,Administrative Leadership, 732,Course Total,Course Total,21,19,90.5%,3.580,1,12,6,,,,,,,,,,,,,
Education,Administrative Leadership, 737,291,"Conceicao,Simone C O",12,11,91.7%,2.879,6,,,1,1,,1,,,,,2,,,,
Education,Administrative Leadership, 737,Course Total,Course Total,12,11,91.7%,2.879,6,,,1,1,,1,,,,,2,,,,
Education,Administrative Leadership, 752,101,"Taylor,Kristen M",9,9,100.0%,3.926,8,,1,,,,,,,,,,,,,
Education,Administrative Leadership, 752,Course Total,Course Total,9,9,100.0%,3.926,8,,1,,,,,,,,,,,,,
Education,Administrative Leadership, 757,291,"Daley,Barbara J",16,14,87.5%,3.596,7,2,1,3,1,,,,,,,,1,,,
Education,Administrative Leadership, 757,Course Total,Course Total,16,14,87.5%,3.596,7,2,1,3,1,,,,,,,,1,,,
Education,Administrative Leadership, 777,291,"Baldwin,Cheryl K",16,14,87.5%,3.976,13,1,,,,,,,,,,,1,,,
Education,Administrative Leadership, 777,Course Total,Course Total,16,14,87.5%,3.976,13,1,,,,,,,,,,,1,,,
Education,Administrative Leadership, 792,191,"Wallace,Leigh Ellen",14,14,100.0%,3.862,9,2,,1,,,,,,,,,,,,2
Education,Administrative Leadership, 792,Course Total,Course Total,14,14,100.0%,3.862,9,2,,1,,,,,,,,,,,,2
Education,Administrative Leadership, 797,001,"Mina,Liliana",13,12,92.3%,3.612,6,4,1,,,,,,1,,,,,,,
Education,Administrative Leadership, 797,291,"Mina,Liliana",16,16,100.0%,3.709,13,2,,,,,,,,,,1,,,,
Education,Administrative Leadership, 797,Course Total,Course Total,29,28,96.6%,3.667,19,6,1,,,,,,1,,,1,,,,
Education,Administrative Leadership, 812,291,"Wallace,Leigh Ellen",8,8,100.0%,3.734,3,1,,1,,,,,,,,,,,,3
Education,Administrative Leadership, 812,Course Total,Course Total,8,8,100.0%,3.734,3,1,,1,,,,,,,,,,,,3
Education,Counseling, 403,001,"Moore,Jamie M",16,15,93.8%,3.978,14,1,,,,,,,,,,,1,,,
Education,Counseling, 403,Course Total,Course Total,16,15,93.8%,3.978,14,1,,,,,,,,,,,1,,,
Education,Counseling, 600,001,"Cass,Tanya Joy",37,37,100.0%,3.659,16,14,2,2,2,,1,,,,,,,,,
Education,Counseling, 600,Course Total,Course Total,37,37,100.0%,3.659,16,14,2,2,2,,1,,,,,,,,,
Education,Counseling, 602,001,"Sage,Katherine Es",20,20,100.0%,3.901,15,4,1,,,,,,,,,,,,,
Education,Counseling, 602,Course Total,Course Total,20,20,100.0%,3.901,15,4,1,,,,,,,,,,,,,
Education,Counseling, 702,291,"Carbonelli,Matthew Michael",24,21,87.5%,3.667,14,1,2,3,,,,1,,,,,,,,
Education,Counseling, 702,Course Total,Course Total,24,21,87.5%,3.667,14,1,2,3,,,,1,,,,,,,,
Education,Counseling, 710,001,"Sapp,Marty",47,46,97.9%,3.742,10,36,,,,,,,,,,,,,,
Education,Counseling, 710,Course Total,Course Total,47,46,97.9%,3.742,10,36,,,,,,,,,,,,,,
Education,Counseling, 714,001,"Carbonelli,Matthew Michael",33,33,100.0%,3.869,25,5,2,,1,,,,,,,,,,,
Education,Counseling, 714,Course Total,Course Total,33,33,100.0%,3.869,25,5,2,,1,,,,,,,,,,,
Education,Counseling, 715,001,"Everhart,Samantha Ann",14,14,100.0%,3.882,9,5,,,,,,,,,,,,,,
Education,Counseling, 715,Course Total,Course Total,14,14,100.0%,3.882,9,5,,,,,,,,,,,,,,
Education,Counseling, 764,001,"Ernest,Thomas L",15,14,93.3%,,,,,,,,,,,,,,1,,,14
Education,Counseling, 764,Course Total,Course Total,15,14,93.3%,,,,,,,,,,,,,,1,,,14
Education,Counseling, 765,001,"Clark,Michael",13,13,100.0%,4.000,13,,,,,,,,,,,,,,,
Education,Counseling, 765,Course Total,Course Total,13,13,100.0%,4.000,13,,,,,,,,,,,,,,,
Education,Counseling, 774,291,"Weber,Kristin Nicole",16,15,93.8%,3.889,13,,1,1,,,,,,,,,1,,,
Education,Counseling, 774,Course Total,Course Total,16,15,93.8%,3.889,13,,1,1,,,,,,,,,1,,,
Education,Counseling, 775,291,"Cass,Tanya Joy",11,11,100.0%,3.768,5,4,,1,,,,,,,,,,,,1
Education,Counseling, 775,Course Total,Course Total,11,11,100.0%,3.768,5,4,,1,,,,,,,,,,,,1
Education,Counseling, 800,001,"Sapp,Marty",25,25,100.0%,3.788,10,14,1,,,,,,,,,,,,,
Education,Counseling, 800,Course Total,Course Total,25,25,100.0%,3.788,10,14,1,,,,,,,,,,,,,
Education,Counseling, 810,001,"Karasch,Daniel Thomas",16,16,100.0%,3.917,13,2,1,,,,,,,,,,,,,
Education,Counseling, 810,Course Total,Course Total,16,16,100.0%,3.917,13,2,1,,,,,,,,,,,,,
Education,Counseling, 812,001,"Kozlowski,Michael B",17,17,100.0%,3.687,7,6,2,2,,,,,,,,,,,,
Education,Counseling, 812,Course Total,Course Total,17,17,100.0%,3.687,7,6,2,2,,,,,,,,,,,,
Education,Counseling, 814,001,"Fouad,Nadya A",15,15,100.0%,4.000,15,,,,,,,,,,,,,,,
Education,Counseling, 814,Course Total,Course Total,15,15,100.0%,4.000,15,,,,,,,,,,,,,,,
Education,Counseling, 815,001,"Autin,Kelsey L",20,20,100.0%,4.000,20,,,,,,,,,,,,,,,
Education,Counseling, 815,Course Total,Course Total,20,20,100.0%,4.000,20,,,,,,,,,,,,,,,
Education,Counseling, 976,001,"Sapp,Marty",9,9,100.0%,,,,,,,,,,,,,,,,,9
Education,Counseling, 976,Course Total,Course Total,9,9,100.0%,,,,,,,,,,,,,,,,,9
Education,Counseling, 977,001,"Fouad,Nadya A",7,7,100.0%,,,,,,,,,,,,,,,,,7
Education,Counseling, 977,Course Total,Course Total,7,7,100.0%,,,,,,,,,,,,,,,,,7
Education,Counseling, 990,004,"Fouad,Nadya A",6,6,100.0%,,,,,,,,,,,,,,,,,6
Education,Counseling, 990,Course Total,Course Total,6,6,100.0%,,,,,,,,,,,,,,,,,6
Education,Curriculum and Instruction, 111,001,"Lucius,Barbara A",21,21,100.0%,3.651,10,6,2,2,,,1,,,,,,,,,
